학교명,학교종류,지역,설립구분,상태,기준연도,Measure Names,Measure Values
가톨릭상지대학교,전문대학,경북,사립,기존,2024,취업률(%),80.695652174
가톨릭상지대학교,전문대학,경북,사립,기존,2024,취업자,464
가톨릭상지대학교,전문대학,경북,사립,기존,2024,예외자,62
가톨릭상지대학교,전문대학,경북,사립,기존,2024,졸업자,637
가톨릭상지대학교,전문대학,경북,사립,기존,2023,취업률(%),80.415944541
가톨릭상지대학교,전문대학,경북,사립,기존,2023,취업자,464
가톨릭상지대학교,전문대학,경북,사립,기존,2023,예외자,61
가톨릭상지대학교,전문대학,경북,사립,기존,2023,졸업자,638
가톨릭상지대학교,전문대학,경북,사립,기존,2022,취업률(%),79.107142857
가톨릭상지대학교,전문대학,경북,사립,기존,2022,취업자,443
가톨릭상지대학교,전문대학,경북,사립,기존,2022,예외자,67
가톨릭상지대학교,전문대학,경북,사립,기존,2022,졸업자,627
강동대학교,전문대학,충북,사립,기존,2024,취업률(%),78.853383459
강동대학교,전문대학,충북,사립,기존,2024,취업자,839
강동대학교,전문대학,충북,사립,기존,2024,예외자,93
강동대학교,전문대학,충북,사립,기존,2024,졸업자,1157
강동대학교,전문대학,충북,사립,기존,2023,취업률(%),72.988505747
강동대학교,전문대학,충북,사립,기존,2023,취업자,762
강동대학교,전문대학,충북,사립,기존,2023,예외자,110
강동대학교,전문대학,충북,사립,기존,2023,졸업자,1154
강동대학교,전문대학,충북,사립,기존,2022,취업률(%),73.994387278
강동대학교,전문대학,충북,사립,기존,2022,취업자,791
강동대학교,전문대학,충북,사립,기존,2022,예외자,177
강동대학교,전문대학,충북,사립,기존,2022,졸업자,1246
강릉영동대학교,전문대학,강원,사립,기존,2024,취업률(%),75.635876841
강릉영동대학교,전문대학,강원,사립,기존,2024,취업자,565
강릉영동대학교,전문대학,강원,사립,기존,2024,예외자,51
강릉영동대학교,전문대학,강원,사립,기존,2024,졸업자,798
강릉영동대학교,전문대학,강원,사립,기존,2023,취업률(%),74.043715847
강릉영동대학교,전문대학,강원,사립,기존,2023,취업자,542
강릉영동대학교,전문대학,강원,사립,기존,2023,예외자,86
강릉영동대학교,전문대학,강원,사립,기존,2023,졸업자,818
강릉영동대학교,전문대학,강원,사립,기존,2022,취업률(%),74.342928661
강릉영동대학교,전문대학,강원,사립,기존,2022,취업자,594
강릉영동대학교,전문대학,강원,사립,기존,2022,예외자,109
강릉영동대학교,전문대학,강원,사립,기존,2022,졸업자,908
강원관광대학교,전문대학,강원,사립,폐교,2022,취업률(%),69.615384615
강원관광대학교,전문대학,강원,사립,폐교,2022,취업자,181
강원관광대학교,전문대학,강원,사립,폐교,2022,예외자,25
강원관광대학교,전문대학,강원,사립,폐교,2022,졸업자,285
강원도립대학교,전문대학,강원,공립,기존,2024,취업률(%),63.874345550
강원도립대학교,전문대학,강원,공립,기존,2024,취업자,122
강원도립대학교,전문대학,강원,공립,기존,2024,예외자,50
강원도립대학교,전문대학,강원,공립,기존,2024,졸업자,241
강원도립대학교,전문대학,강원,공립,기존,2023,취업률(%),69.677419355
강원도립대학교,전문대학,강원,공립,기존,2023,취업자,108
강원도립대학교,전문대학,강원,공립,기존,2023,예외자,30
강원도립대학교,전문대학,강원,공립,기존,2023,졸업자,185
강원도립대학교,전문대학,강원,공립,기존,2022,취업률(%),57.142857143
강원도립대학교,전문대학,강원,공립,기존,2022,취업자,96
강원도립대학교,전문대학,강원,공립,기존,2022,예외자,39
강원도립대학교,전문대학,강원,공립,기존,2022,졸업자,207
거제대학교,전문대학,경남,사립,기존,2024,취업률(%),77.307692308
거제대학교,전문대학,경남,사립,기존,2024,취업자,201
거제대학교,전문대학,경남,사립,기존,2024,예외자,65
거제대학교,전문대학,경남,사립,기존,2024,졸업자,325
거제대학교,전문대학,경남,사립,기존,2023,취업률(%),78.694158076
거제대학교,전문대학,경남,사립,기존,2023,취업자,229
거제대학교,전문대학,경남,사립,기존,2023,예외자,49
거제대학교,전문대학,경남,사립,기존,2023,졸업자,340
거제대학교,전문대학,경남,사립,기존,2022,취업률(%),76.948051948
거제대학교,전문대학,경남,사립,기존,2022,취업자,237
거제대학교,전문대학,경남,사립,기존,2022,예외자,62
거제대학교,전문대학,경남,사립,기존,2022,졸업자,370
경기과학기술대학교,전문대학,경기,사립,기존,2024,취업률(%),69.664525339
경기과학기술대학교,전문대학,경기,사립,기존,2024,취업자,976
경기과학기술대학교,전문대학,경기,사립,기존,2024,예외자,359
경기과학기술대학교,전문대학,경기,사립,기존,2024,졸업자,1760
경기과학기술대학교,전문대학,경기,사립,기존,2023,취업률(%),71.465131158
경기과학기술대학교,전문대학,경기,사립,기존,2023,취업자,1117
경기과학기술대학교,전문대학,경기,사립,기존,2023,예외자,266
경기과학기술대학교,전문대학,경기,사립,기존,2023,졸업자,1829
경기과학기술대학교,전문대학,경기,사립,기존,2022,취업률(%),71.523982999
경기과학기술대학교,전문대학,경기,사립,기존,2022,취업자,1178
경기과학기술대학교,전문대학,경기,사립,기존,2022,예외자,226
경기과학기술대학교,전문대학,경기,사립,기존,2022,졸업자,1873
경남도립거창대학,전문대학,경남,공립,기존,2024,취업률(%),75.272727273
경남도립거창대학,전문대학,경남,공립,기존,2024,취업자,207
경남도립거창대학,전문대학,경남,공립,기존,2024,예외자,25
경남도립거창대학,전문대학,경남,공립,기존,2024,졸업자,300
경남도립거창대학,전문대학,경남,공립,기존,2023,취업률(%),73.605947955
경남도립거창대학,전문대학,경남,공립,기존,2023,취업자,198
경남도립거창대학,전문대학,경남,공립,기존,2023,예외자,53
경남도립거창대학,전문대학,경남,공립,기존,2023,졸업자,322
경남도립거창대학,전문대학,경남,공립,기존,2022,취업률(%),69.565217391
경남도립거창대학,전문대학,경남,공립,기존,2022,취업자,176
경남도립거창대학,전문대학,경남,공립,기존,2022,예외자,41
경남도립거창대학,전문대학,경남,공립,기존,2022,졸업자,294
경남도립남해대학,전문대학,경남,공립,기존,2024,취업률(%),74.721189591
경남도립남해대학,전문대학,경남,공립,기존,2024,취업자,201
경남도립남해대학,전문대학,경남,공립,기존,2024,예외자,23
경남도립남해대학,전문대학,경남,공립,기존,2024,졸업자,292
경남도립남해대학,전문대학,경남,공립,기존,2023,취업률(%),72.5
경남도립남해대학,전문대학,경남,공립,기존,2023,취업자,232
경남도립남해대학,전문대학,경남,공립,기존,2023,예외자,50
경남도립남해대학,전문대학,경남,공립,기존,2023,졸업자,370
경남도립남해대학,전문대학,경남,공립,기존,2022,취업률(%),69.361702128
경남도립남해대학,전문대학,경남,공립,기존,2022,취업자,163
경남도립남해대학,전문대학,경남,공립,기존,2022,예외자,37
경남도립남해대학,전문대학,경남,공립,기존,2022,졸업자,272
경남정보대학교,전문대학,부산,사립,기존,2024,취업률(%),72.940589116
경남정보대학교,전문대학,부산,사립,기존,2024,취업자,1461
경남정보대학교,전문대학,부산,사립,기존,2024,예외자,267
경남정보대학교,전문대학,부산,사립,기존,2024,졸업자,2270
경남정보대학교,전문대학,부산,사립,기존,2023,취업률(%),73.552123552
경남정보대학교,전문대학,부산,사립,기존,2023,취업자,1524
경남정보대학교,전문대학,부산,사립,기존,2023,예외자,308
경남정보대학교,전문대학,부산,사립,기존,2023,졸업자,2380
경남정보대학교,전문대학,부산,사립,기존,2022,취업률(%),73.156474820
경남정보대학교,전문대학,부산,사립,기존,2022,취업자,1627
경남정보대학교,전문대학,부산,사립,기존,2022,예외자,319
경남정보대학교,전문대학,부산,사립,기존,2022,졸업자,2543
경민대학교,전문대학,경기,사립,기존,2024,취업률(%),68.185584093
경민대학교,전문대학,경기,사립,기존,2024,취업자,823
경민대학교,전문대학,경기,사립,기존,2024,예외자,253
경민대학교,전문대학,경기,사립,기존,2024,졸업자,1460
경민대학교,전문대학,경기,사립,기존,2023,취업률(%),69.967266776
경민대학교,전문대학,경기,사립,기존,2023,취업자,855
경민대학교,전문대학,경기,사립,기존,2023,예외자,296
경민대학교,전문대학,경기,사립,기존,2023,졸업자,1518
경민대학교,전문대학,경기,사립,기존,2022,취업률(%),71.306818182
경민대학교,전문대학,경기,사립,기존,2022,취업자,1004
경민대학교,전문대학,경기,사립,기존,2022,예외자,249
경민대학교,전문대학,경기,사립,기존,2022,졸업자,1657
경복대학교,전문대학,경기,사립,기존,2024,취업률(%),82.091276719
경복대학교,전문대학,경기,사립,기존,2024,취업자,1421
경복대학교,전문대학,경기,사립,기존,2024,예외자,223
경복대학교,전문대학,경기,사립,기존,2024,졸업자,1954
경복대학교,전문대학,경기,사립,기존,2023,취업률(%),80.576713819
경복대학교,전문대학,경기,사립,기존,2023,취업자,1481
경복대학교,전문대학,경기,사립,기존,2023,예외자,271
경복대학교,전문대학,경기,사립,기존,2023,졸업자,2109
경복대학교,전문대학,경기,사립,기존,2022,취업률(%),79.323109466
경복대학교,전문대학,경기,사립,기존,2022,취업자,1500
경복대학교,전문대학,경기,사립,기존,2022,예외자,286
경복대학교,전문대학,경기,사립,기존,2022,졸업자,2177
