기준연도,학교종류,설립구분,지역,상태,학교,단과대학,학과,입학정원,수업료,등록금,관련학과
2024,기능대학,사립,경기,기존,ICT폴리텍대학,단과대구분없음,AI소프트웨어학과,64,"2,500,000","2,500,000",
2024,기능대학,사립,경기,기존,ICT폴리텍대학,단과대구분없음,IT융합학과,64,"2,500,000","2,500,000",
2024,기능대학,사립,경기,기존,ICT폴리텍대학,단과대구분없음,정보보안학과,64,"2,500,000","2,500,000",
2024,기능대학,사립,경기,기존,ICT폴리텍대학,단과대구분없음,정보통신학과,64,"2,500,000","2,500,000",
2024,기능대학,사립,경기,기존,ICT폴리텍대학,단과대구분없음,클라우드인터넷학과,64,"2,500,000","2,500,000",
2024,전문대학,사립,경북,기존,가톨릭상지대학교,단과대구분없음,간호학과,714,"6,680,117.6","6,680,117.6",간호학과
2024,전문대학,사립,경북,기존,가톨릭상지대학교,단과대구분없음,경영과,40,"4,739,500","4,739,500",
2024,전문대학,사립,경북,기존,가톨릭상지대학교,단과대구분없음,글로벌뷰티케어과,30,"5,701,500","5,701,500",
2024,전문대학,사립,경북,기존,가톨릭상지대학교,단과대구분없음,글로벌한국어과,44,"4,750,000","4,750,000",
2024,전문대학,사립,경북,기존,가톨릭상지대학교,단과대구분없음,노인건강지도과,17,"5,561,000","5,561,000",
2024,전문대학,사립,경북,기존,가톨릭상지대학교,단과대구분없음,드론운용정비과,27,"5,714,333.3","5,714,333.3",
2024,전문대학,사립,경북,기존,가톨릭상지대학교,단과대구분없음,드론항공과,10,"5,586,000","5,586,000",
2024,전문대학,사립,경북,기존,가톨릭상지대학교,단과대구분없음,바이오제약과,48,"5,663,000","5,663,000",
2024,전문대학,사립,경북,기존,가톨릭상지대학교,단과대구분없음,반려동물과,34,"5,701,500","5,701,500",
2024,전문대학,사립,경북,기존,가톨릭상지대학교,단과대구분없음,보건의료행정과,20,"5,330,000","5,330,000",
2024,전문대학,사립,경북,기존,가톨릭상지대학교,단과대구분없음,사회복지과,180,"4,739,500","4,739,500",
2024,전문대학,사립,경북,기존,가톨릭상지대학교,단과대구분없음,외식창업조리과,25,"5,724,600","5,724,600",
2024,전문대학,사립,경북,기존,가톨릭상지대학교,단과대구분없음,유아교육과,85,"4,691,941.2","4,691,941.2",
2024,전문대학,사립,경북,기존,가톨릭상지대학교,단과대구분없음,작업치료과,60,"5,484,000","5,484,000",
2024,전문대학,사립,경북,기존,가톨릭상지대학교,단과대구분없음,전산세무회계과,30,"4,739,500","4,739,500",
2024,전문대학,사립,경북,기존,가톨릭상지대학교,단과대구분없음,철도운전시스템과,58,"5,697,517.2","5,697,517.2",
2024,전문대학,사립,경북,기존,가톨릭상지대학교,단과대구분없음,철도전기과,50,"5,655,300","5,655,300",
2024,전문대학,사립,경북,기존,가톨릭상지대학교,단과대구분없음,치위생과,87,"5,537,103.4","5,537,103.4",
2024,전문대학,사립,경북,기존,가톨릭상지대학교,단과대구분없음,하이브리드자동차과,50,"5,701,500","5,701,500",
2024,전문대학,사립,충북,기존,강동대학교,단과대구분없음,간호학과,392,"7,359,183.7","7,359,183.7",간호학과
2024,전문대학,사립,충북,기존,강동대학교,단과대구분없음,건축과,120,"5,933,333.3","5,933,333.3",
2024,전문대학,사립,충북,기존,강동대학교,단과대구분없음,경찰경호과,60,"4,000,000","4,000,000",
2024,전문대학,사립,충북,기존,강동대학교,단과대구분없음,글로컬사회복지학부,260,"6,000,000","6,000,000",
2024,전문대학,사립,충북,기존,강동대학교,단과대구분없음,만화・애니메이션콘텐츠과,60,"5,800,000","5,800,000",
2024,전문대학,사립,충북,기존,강동대학교,단과대구분없음,물리치료과,120,"7,266,666.7","7,266,666.7",물리치료학과
2024,전문대학,사립,충북,기존,강동대학교,단과대구분없음,보건의료행정과,30,"264,500","264,500",
2024,전문대학,사립,충북,기존,강동대학교,단과대구분없음,사회복지과,140,"6,000,000","6,000,000",
2024,전문대학,사립,충북,기존,강동대학교,단과대구분없음,산업디자인과,60,"4,000,000","4,000,000",
2024,전문대학,사립,충북,기존,강동대학교,단과대구분없음,산업안전학부,150,"5,800,000","5,800,000",
2024,전문대학,사립,충북,기존,강동대학교,단과대구분없음,소방전기에너지학부,30,"5,800,000","5,800,000",
2024,전문대학,사립,충북,기존,강동대학교,단과대구분없음,스마트복지융합학부,142,"6,000,000","6,000,000",
2024,전문대학,사립,충북,기존,강동대학교,단과대구분없음,스포츠건강관리과,60,"5,600,000","5,600,000",
2024,전문대학,사립,충북,기존,강동대학교,단과대구분없음,스포츠재활과,30,"4,800,000","4,800,000",
2024,전문대학,사립,충북,기존,강동대학교,단과대구분없음,실용무용과,30,"2,000,000","2,000,000",
2024,전문대학,사립,충북,기존,강동대학교,단과대구분없음,실용음악과(3년제),170,"5,788,235.3","5,788,235.3",
2024,전문대학,사립,충북,기존,강동대학교,단과대구분없음,안경광학과,120,"5,333,333.3","5,333,333.3",
2024,전문대학,사립,충북,기존,강동대학교,단과대구분없음,유아교육과,144,"5,777,777.8","5,777,777.8",
2024,전문대학,사립,충북,기존,강동대학교,단과대구분없음,응급구조과,30,"5,200,000","5,200,000",
2024,전문대학,사립,충북,기존,강동대학교,단과대구분없음,자동차과,30,"1,600,000","1,600,000",
2024,전문대학,사립,충북,기존,강동대학교,단과대구분없음,전기설비과,30,"4,000,000","4,000,000",
2024,전문대학,사립,충북,기존,강동대학교,단과대구분없음,창업경영과,80,"5,900,000","5,900,000",
2024,전문대학,사립,충북,기존,강동대학교,단과대구분없음,치위생과,249,"6,100,000","6,100,000",
2024,전문대학,사립,충북,기존,강동대학교,단과대구분없음,평생직업스마트학부,330,"5,218,181.8","5,218,181.8",
2024,전문대학,사립,충북,기존,강동대학교,단과대구분없음,헤어뷰티케어과,30,"5,800,000","5,800,000",
2024,전문대학,사립,강원,기존,강릉영동대학교,단과대구분없음,AI메타버스과,40,"6,202,000","6,202,000",
2024,전문대학,사립,강원,기존,강릉영동대학교,단과대구분없음,간호학과(4년제),618,"6,252,873.8","6,252,873.8",간호학과
2024,전문대학,사립,강원,기존,강릉영동대학교,단과대구분없음,건축인테리어과,20,"6,202,000","6,202,000",
2024,전문대학,사립,강원,기존,강릉영동대학교,단과대구분없음,관광경영전공,40,"6,282,000","6,282,000",
2024,전문대학,사립,강원,기존,강릉영동대학교,단과대구분없음,디지털관광융합계열,100,"6,282,000","6,282,000",
2024,전문대학,사립,강원,기존,강릉영동대학교,단과대구분없음,디지털군사학과,25,"5,386,000","5,386,000",
2024,전문대학,사립,강원,기존,강릉영동대학교,단과대구분없음,디지털안보행정학과,30,"5,386,000","5,386,000",
2024,전문대학,사립,강원,기존,강릉영동대학교,단과대구분없음,물리치료과,240,"6,282,000","6,282,000",물리치료학과
2024,전문대학,사립,강원,기존,강릉영동대학교,단과대구분없음,뷰티미용과,55,"5,962,000","5,962,000",
2024,전문대학,사립,강원,기존,강릉영동대학교,단과대구분없음,사회복지과,100,"5,386,000","5,386,000",
2024,전문대학,사립,강원,기존,강릉영동대학교,단과대구분없음,산림복지전공,33,"6,282,000","6,282,000",
2024,전문대학,사립,강원,기존,강릉영동대학교,단과대구분없음,산림해양융합계열,45,"6,282,000","6,282,000",
2024,전문대학,사립,강원,기존,강릉영동대학교,단과대구분없음,스마트건축과,20,"6,202,000","6,202,000",
2024,전문대학,사립,강원,기존,강릉영동대학교,단과대구분없음,스포츠레저헬스케어계열,100,"6,282,000","6,282,000",
2024,전문대학,사립,강원,기존,강릉영동대학교,단과대구분없음,스포츠재활전공,4,"6,282,000","6,282,000",
2024,전문대학,사립,강원,기존,강릉영동대학교,단과대구분없음,스포츠지도과,70,"5,386,000","5,386,000",
2024,전문대학,사립,강원,기존,강릉영동대학교,단과대구분없음,승마산업전공,41,"6,282,000","6,282,000",
2024,전문대학,사립,강원,기존,강릉영동대학교,단과대구분없음,실용음악예술과,30,"5,386,000","5,386,000",
2024,전문대학,사립,강원,기존,강릉영동대학교,단과대구분없음,실용음악예술과(2년제),30,"5,386,000","5,386,000",
2024,전문대학,사립,강원,기존,강릉영동대학교,단과대구분없음,안경광학과,50,"6,282,000","6,282,000",
2024,전문대학,사립,강원,기존,강릉영동대학교,단과대구분없음,유아교육과,95,"5,386,000","5,386,000",
2024,전문대학,사립,강원,기존,강릉영동대학교,단과대구분없음,재난안전드론전공,12,"6,282,000","6,282,000",
2024,전문대학,사립,강원,기존,강릉영동대학교,단과대구분없음,전기과,20,"6,202,000","6,202,000",
2024,전문대학,사립,강원,기존,강릉영동대학교,단과대구분없음,치위생과,220,"6,282,000","6,282,000",
2024,전문대학,사립,강원,기존,강릉영동대학교,단과대구분없음,토목건설과,25,"6,202,000","6,202,000",
2024,전문대학,사립,강원,기존,강릉영동대학교,단과대구분없음,토목환경과,25,"6,202,000","6,202,000",
2024,전문대학,사립,강원,기존,강릉영동대학교,단과대구분없음,호텔리조트바리스타전공,6,"6,282,000","6,282,000",
2024,전문대학,사립,강원,기존,강릉영동대학교,단과대구분없음,호텔조리전공,44,"6,282,000","6,282,000",
2024,전문대학,사립,강원,기존,강릉영동대학교,단과대구분없음,휴먼레저음악과,30,"5,386,000","5,386,000",
2024,전문대학,공립,강원,기존,강원도립대학교,단과대구분없음,건설지적토목과,50,"2,444,000","2,444,000",
2024,전문대학,공립,강원,기존,강원도립대학교,단과대구분없음,경찰경호과,20,"2,026,000","2,026,000",
2024,전문대학,공립,강원,기존,강원도립대학교,단과대구분없음,공공인재융합과,37,"2,026,000","2,026,000",
2024,전문대학,공립,강원,기존,강원도립대학교,단과대구분없음,드론융합과,67,"2,444,000","2,444,000",
2024,전문대학,공립,강원,기존,강원도립대학교,단과대구분없음,레저스포츠과,80,"2,444,000","2,444,000",
2024,전문대학,공립,강원,기존,강원도립대학교,단과대구분없음,바리스타제과제빵과,77,"2,444,000","2,444,000",
2024,전문대학,공립,강원,기존,강원도립대학교,단과대구분없음,사회복지과,30,"2,026,000","2,026,000",
2024,전문대학,공립,강원,기존,강원도립대학교,단과대구분없음,소방환경방재과,60,"2,444,000","2,444,000",
2024,전문대학,공립,강원,기존,강원도립대학교,단과대구분없음,스마트해양양식과,45,"2,444,000","2,444,000",
2024,전문대학,공립,강원,기존,강원도립대학교,단과대구분없음,항공크루즈서비스과,25,"2,026,000","2,026,000",
2024,전문대학,공립,강원,기존,강원도립대학교,단과대구분없음,항만어촌매니지먼트과,30,"2,444,000","2,444,000",
2024,전문대학,공립,강원,기존,강원도립대학교,단과대구분없음,해양경찰과(공학),85,"2,444,000","2,444,000",
2024,전문대학,공립,강원,기존,강원도립대학교,단과대구분없음,호텔관광과,50,"2,026,000","2,026,000",
2024,전문대학,사립,경남,기존,거제대학교,단과대구분없음,간호학과,440,"6,771,500","6,771,500",간호학과
2024,전문대학,사립,경남,기존,거제대학교,단과대구분없음,글로벌경영과,20,"5,308,000","5,308,000",
2024,전문대학,사립,경남,기존,거제대학교,단과대구분없음,기계공학과,60,"6,038,000","6,038,000",
2024,전문대학,사립,경남,기존,거제대학교,단과대구분없음,기계공학과(2년제),30,"6,188,000","6,188,000",
2024,전문대학,사립,경남,기존,거제대학교,단과대구분없음,베이커리창업과,13,"5,950,000","5,950,000",
2024,전문대학,사립,경남,기존,거제대학교,단과대구분없음,사회복지과(3년제),70,"5,200,857.1","5,200,857.1",
2024,전문대학,사립,경남,기존,거제대학교,단과대구분없음,사회복지창업과,17,"5,308,000","5,308,000",
2024,전문대학,사립,경남,기존,거제대학교,단과대구분없음,유아교육과,25,"5,572,000","5,572,000",
2024,전문대학,사립,경남,기존,거제대학교,단과대구분없음,유아교육과(2년제),60,"5,647,000","5,647,000",
2024,전문대학,사립,경남,기존,거제대학교,단과대구분없음,전기공학과,40,"6,113,000","6,113,000",
2024,전문대학,사립,경남,기존,거제대학교,단과대구분없음,조리제빵과,80,"5,875,000","5,875,000",
2024,전문대학,사립,경남,기존,거제대학교,단과대구분없음,조선해양공학과,65,"6,084,153.8","6,084,153.8",
2024,전문대학,사립,경남,기존,거제대학교,단과대구분없음,평생직업교육학부,35,"5,158,000","5,158,000",
2024,전문대학,사립,경남,기존,거제대학교,단과대구분없음,평생직업산업학과,57,"6,135,368.4","6,135,368.4",
2024,전문대학,사립,경기,기존,경기과학기술대학교,단과대구분없음,건축소방안전학과,60,"6,434,000","6,434,000",
2024,전문대학,사립,경기,기존,경기과학기술대학교,단과대구분없음,건축인테리어학과,175,"6,367,293.1","6,367,293.1",
2024,전문대학,사립,경기,기존,경기과학기술대학교,단과대구분없음,게임콘텐츠학과,250,"6,398,317.6","6,398,317.6",
2024,전문대학,사립,경기,기존,경기과학기술대학교,단과대구분없음,경영학과,100,"5,779,464","5,779,464",
2024,전문대학,사립,경기,기존,경기과학기술대학교,단과대구분없음,군사학과,70,"6,434,000","6,434,000",
2024,전문대학,사립,경기,기존,경기과학기술대학교,단과대구분없음,군사학과(인문사회),45,"6,018,660","6,018,660",
2024,전문대학,사립,경기,기존,경기과학기술대학교,단과대구분없음,기계공학과,220,"6,357,210","6,357,210",
2024,전문대학,사립,경기,기존,경기과학기술대학교,단과대구분없음,디자인공학과,120,"6,633,330","6,633,330",
2024,전문대학,사립,경기,기존,경기과학기술대학교,단과대구분없음,메카트로닉스공학과,180,"6,380,220","6,380,220",
2024,전문대학,사립,경기,기존,경기과학기술대학교,단과대구분없음,모빌리티공학과,150,"6,316,309.3","6,316,309.3",
2024,전문대학,사립,경기,기존,경기과학기술대학교,단과대구분없음,미디어디자인과,80,"6,434,000","6,434,000",
2024,전문대학,사립,경기,기존,경기과학기술대학교,단과대구분없음,미래전기자동차과,260,"6,633,330","6,633,330",
2024,전문대학,사립,경기,기존,경기과학기술대학교,단과대구분없음,보건의료행정학과,63,"5,620,000","5,620,000",
2024,전문대학,사립,경기,기존,경기과학기술대학교,단과대구분없음,보건의료행정학과(3년제),51,"6,832,660","6,832,660",
2024,전문대학,사립,경기,기존,경기과학기술대학교,단과대구분없음,사회복지학과,115,"5,810,663.5","5,810,663.5",
2024,전문대학,사립,경기,기존,경기과학기술대학교,단과대구분없음,생명화학공학과,150,"6,593,464","6,593,464",
2024,전문대학,사립,경기,기존,경기과학기술대학교,단과대구분없음,소방방재학과,50,"6,832,660","6,832,660",
2024,전문대학,사립,경기,기존,경기과학기술대학교,단과대구분없음,시각정보디자인과,80,"6,160,000","6,160,000",
2024,전문대학,사립,경기,기존,경기과학기술대학교,단과대구분없음,시각정보디자인학과,45,"6,838,660","6,838,660",
2024,전문대학,사립,경기,기존,경기과학기술대학교,단과대구분없음,영상디자인과,80,"6,832,660","6,832,660",
2024,전문대학,사립,경기,기존,경기과학기술대학교,단과대구분없음,웹툰일러스트학과,60,"6,440,000","6,440,000",
2024,전문대학,사립,경기,기존,경기과학기술대학교,단과대구분없음,웹툰일러스트학과(3년제),60,"6,838,660","6,838,660",
2024,전문대학,사립,경기,기존,경기과학기술대학교,단과대구분없음,인공지능학과,124,"6,639,760","6,639,760",
2024,전문대학,사립,경기,기존,경기과학기술대학교,단과대구분없음,전기공학과,210,"6,353,553.3","6,353,553.3",
2024,전문대학,사립,경기,기존,경기과학기술대학교,단과대구분없음,전자공학과,215,"6,600,880.9","6,600,880.9",
2024,전문대학,사립,경기,기존,경기과학기술대학교,단과대구분없음,컴퓨터모바일융합과,195,"6,415,023.1","6,415,023.1",
2024,전문대학,사립,경기,기존,경기과학기술대학교,단과대구분없음,패션디자인과,80,"6,639,330","6,639,330",
2024,전문대학,공립,경남,기존,경남도립거창대학 (폐교),단과대구분없음,간호학과,280,"2,890,000","2,890,000",간호학과
2024,전문대학,공립,경남,기존,경남도립거창대학 (폐교),단과대구분없음,건축・인테리어학부,72,"2,890,000","2,890,000",
2024,전문대학,공립,경남,기존,경남도립거창대학 (폐교),단과대구분없음,드론토목학부,72,"2,890,000","2,890,000",
2024,전문대학,공립,경남,기존,경남도립거창대학 (폐교),단과대구분없음,미래자동차공학부,47,"2,890,000","2,890,000",
2024,전문대학,공립,경남,기존,경남도립거창대학 (폐교),단과대구분없음,뷰티웰니스과,47,"2,890,000","2,890,000",
2024,전문대학,공립,경남,기존,경남도립거창대학 (폐교),단과대구분없음,사회복지・보육학부,66,"2,396,000","2,396,000",
2024,전문대학,공립,경남,기존,경남도립거창대학 (폐교),단과대구분없음,소방・전기학부,110,"2,890,000","2,890,000",
2024,전문대학,공립,경남,기존,경남도립거창대학 (폐교),단과대구분없음,스마트귀농귀촌학부,58,"2,890,000","2,890,000",
2024,전문대학,공립,경남,기존,경남도립거창대학 (폐교),단과대구분없음,스포츠재활운동관리과,47,"2,890,000","2,890,000",
2024,전문대학,공립,경남,기존,경남도립거창대학 (폐교),단과대구분없음,항공정비학과,66,"2,890,000","2,890,000",
2024,전문대학,공립,경남,기존,경남도립남해대학 (폐교),단과대구분없음,금융회계사무과,80,"2,396,000","2,396,000",
2024,전문대학,공립,경남,기존,경남도립남해대학 (폐교),단과대구분없음,로컬푸드전공,15,"2,890,000","2,890,000",
2024,전문대학,공립,경남,기존,경남도립남해대학 (폐교),단과대구분없음,산업안전관리과,60,"2,890,000","2,890,000",
2024,전문대학,공립,경남,기존,경남도립남해대학 (폐교),단과대구분없음,소프트웨어공학과,60,"2,890,000","2,890,000",
2024,전문대학,공립,경남,기존,경남도립남해대학 (폐교),단과대구분없음,원예조경과,80,"2,890,000","2,890,000",
